Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,Phylo_Dist_Root,Phylo_Branch_Len,Salinity_Tol
Sphaeralcea,Malvaceae,Malvales,0.333333333,0.04,0.961538462,0.0,0.006153846,0.0,1.0,1.0,0.9333333333,3.56964285725,0.3485,1.2520882353333334,,29.0,1.0,17.24137931034483
Sphaerolobium,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,,24.0,1.0,19.801980198019802
Sphaeromeria,Asteraceae,Asterales,0.0,0.0,1.0,0.625,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,23.0,1.0,7.835820895522388
Sphenopholis,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.034680304047619,1.7807017544210528,0.4968928571428571,4.6528267402125,,33.0,1.0,22.36842105263158
Spinacia,Amaranthaceae,Caryophyllales,0.0,0.0,0.0,0.0,0.041463415,0.0,1.0,0.9744318181818182,0.3531713639130434,2.448412698428572,0.199,1.06,0.0,23.0,1.0,47.72727272727273
Spiraea,Rosaceae,Rosales,1.008403361,0.171428571,1.0,1.0,0.001060071,0.0,1.0,0.6875,1.0,2.1739697801,0.8256875,0.54875,52.11460507,19.0,1.0,2.7777777777777777
Spiranthes,Orchidaceae,Asparagales,0.56980057,0.074074074,1.0,0.0,0.0,1.0,1.0,0.333333333,1.0,2.9197885448571426,0.6304592000547441,10.827903073333331,,21.0,1.0,0.0
Spirodela,Araceae,Alismatales,0.0,0.0,1.0,0.0,0.000248447,0.0,1.0,0.0,1.0,3.0,0.6304592000547441,0.28,35.8627865,13.0,1.0,0.0
Sporobolus,Poaceae,Poales,0.0,0.0,0.837209302,0.0,0.074314214,1.0,1.0,1.0,0.0,3.5,0.4968928571428571,4.6528267402125,,24.0,1.0,100.0
Spyridium,Rhamnaceae,Rosales,7.142857143,0.214285714,1.0,1.0,0.004444444,0.0,1.0,1.0,0.95833333325,1.7791666666666668,0.6304592000547441,0.8661904760000001,,21.0,1.0,18.181818181818183
Stachys,Lamiaceae,Lamiales,0.052246604,0.022727273,0.856321839,0.011363636,0.004320557,1.0,1.0,0.65,1.0,1.25,0.664,2.277777778,83.47368738,32.0,1.0,2.127659574468085
Stackhousia,Celastraceae,Celastrales,0.0,0.0,0.875,0.0,0.0,0.2876006946967245,1.0,0.75,1.0,1.59375,0.6304592000547441,0.91,,16.0,1.0,0.0
Staehelina,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,1.0,2.58694816475,0.6654010416875,0.77,3.67328198,30.0,1.0,7.835820895522388
Stanleya,Brassicaceae,Brassicales,0.0,0.0,0.777777778,0.111111111,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.8330963370185186,,29.0,1.0,8.045977011494253
Stauracanthus,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,,17.0,1.0,19.801980198019802
Stebbinsoseris,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,23.0,1.0,7.835820895522388
Stellaria,Caryophyllaceae,Caryophyllales,0.0683527,0.025974026,0.676923077,0.0,0.001818182,0.0,1.0,0.636363636,1.0,0.0,0.7345,1.1,25.97943667,24.0,1.0,13.793103448275861
Stemodia,Plantaginaceae,Lamiales,0.0,0.0,1.0,0.0,0.005925926,1.0,1.0,0.753702001625,1.0,1.5,0.6612222223333334,1.208066109923077,,25.0,1.0,6.896551724137931
Stenanthemum,Rhamnaceae,Rosales,0.0,0.0,1.0,0.0,0.004444444,0.0,1.0,1.0,0.95833333325,1.7791666666666668,0.6304592000547441,0.8661904760000001,,22.0,1.0,18.181818181818183
Stenogonum,Polygonaceae,Caryophyllales,0.0,0.0,0.0,0.0,0.002727273,0.0,1.0,0.743988801,0.9032738095,3.0,0.8,1.6491309523333333,,18.0,1.0,10.526315789473685
